,support,itemsets
86,0.010183299389002037,"frozenset({'FAYETTE', 'INDIVIDUAL'})"
87,0.034623217922606926,"frozenset({'FULTON', 'INDIVIDUAL'})"
88,0.012898845892735914,"frozenset({'FULTON', 'NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION)'})"
89,0.018329938900203666,"frozenset({'OTHER', 'FULTON'})"
90,0.12763068567549218,"frozenset({'FULTON', 'STATE GOVERNMENT'})"
91,0.028513238289205704,"frozenset({'FULTON', 'Social Security Administration'})"
92,0.027155465037338764,"frozenset({'GWINNETT', 'INDIVIDUAL'})"
93,0.021045485403937542,"frozenset({'GWINNETT', 'Social Security Administration'})"
94,0.012898845892735914,"frozenset({'HALL', 'INDIVIDUAL'})"
95,0.012898845892735914,"frozenset({'HALL', 'Social Security Administration'})"
96,0.02240325865580448,"frozenset({'INDIVIDUAL', 'HENRY'})"
97,0.016293279022403257,"frozenset({'Social Security Administration', 'HENRY'})"
98,0.014256619144602852,"frozenset({'HOUSTON', 'INDIVIDUAL'})"
99,0.010183299389002037,"frozenset({'LOWNDES', 'INDIVIDUAL'})"
100,0.014256619144602852,"frozenset({'MUSCOGEE', 'INDIVIDUAL'})"
101,0.014256619144602852,"frozenset({'RICHMOND', 'INDIVIDUAL'})"
102,0.36591989137813985,"frozenset({'Social Security Administration', 'INDIVIDUAL'})"
103,0.012898845892735914,"frozenset({'Social Security Administration', 'INDIVIDUAL', 'CLAYTON'})"
104,0.048879837067209775,"frozenset({'COBB', 'CORPORATE NOT TAX EXEMPT', 'Department of Defense'})"
105,0.027834351663272233,"frozenset({'COBB', 'Social Security Administration', 'INDIVIDUAL'})"
106,0.02376103190767142,"frozenset({'Department of Health and Human Services', 'DEKALB', 'CORPORATE NOT TAX EXEMPT'})"
107,0.010183299389002037,"frozenset({'HOUSTON', 'CORPORATE NOT TAX EXEMPT', 'Department of Defense'})"
108,0.029192124915139173,"frozenset({'FULTON', 'Department of Defense', 'CORPORATE TAX EXEMPT'})"
109,0.014256619144602852,"frozenset({'OTHER', 'Department of Health and Human Services', 'DEKALB'})"
