,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'AGGREGATE'}),frozenset({'(RI)'}),0.36591989137813985,0.3652410047522064,0.3652410047522064,0.9981447124304267,2.732838589981447,1.0,0.23159205596643637,342.13509843855485,1.0,0.9981447124304269,0.9970771779786293,0.9990723562152133
1,frozenset({'(RI)'}),frozenset({'AGGREGATE'}),0.3652410047522064,0.36591989137813985,0.3652410047522064,1.0,2.732838589981447,1.0,0.23159205596643637,inf,0.9989304812834224,0.9981447124304269,1.0,0.9990723562152133
2,frozenset({'BENEFITS'}),frozenset({'(RI)'}),0.37067209775967414,0.3652410047522064,0.3652410047522064,0.9853479853479854,2.697802197802198,1.0,0.22985635533285495,43.32230142566207,1.0,0.9853479853479852,0.9769172004466123,0.9926739926739927
3,frozenset({'(RI)'}),frozenset({'BENEFITS'}),0.3652410047522064,0.37067209775967414,0.3652410047522064,1.0,2.697802197802198,1.0,0.22985635533285495,inf,0.9914438502673797,0.9853479853479852,1.0,0.9926739926739927
4,frozenset({'(RI)'}),frozenset({'INSURANCE'}),0.3652410047522064,0.38289205702647655,0.3652410047522064,1.0,2.6117021276595747,1.0,0.225393125132217,inf,0.9721925133689839,0.9539007092198581,1.0,0.9769503546099292
5,frozenset({'INSURANCE'}),frozenset({'(RI)'}),0.38289205702647655,0.3652410047522064,0.3652410047522064,0.9539007092198583,2.6117021276595747,1.0,0.225393125132217,13.769387435375247,1.0,0.9539007092198581,0.9273751280009103,0.9769503546099292
6,frozenset({'(RI)'}),frozenset({'RETIREMENT'}),0.3652410047522064,0.3652410047522064,0.3652410047522064,1.0,2.7379182156133828,1.0,0.23184001319980513,inf,0.9999999999999999,1.0,1.0,1.0
7,frozenset({'RETIREMENT'}),frozenset({'(RI)'}),0.3652410047522064,0.3652410047522064,0.3652410047522064,1.0,2.7379182156133828,1.0,0.23184001319980513,inf,0.9999999999999999,1.0,1.0,1.0
8,frozenset({'AGGREGATE'}),frozenset({'BENEFITS'}),0.36591989137813985,0.37067209775967414,0.36591989137813985,1.0,2.697802197802198,1.0,0.23028359762901265,inf,0.9925053533190579,0.9871794871794872,1.0,0.9935897435897436
9,frozenset({'BENEFITS'}),frozenset({'AGGREGATE'}),0.37067209775967414,0.36591989137813985,0.36591989137813985,0.9871794871794872,2.697802197802198,1.0,0.23028359762901265,49.45824847250527,1.0,0.9871794871794872,0.9797809257124033,0.9935897435897436
10,frozenset({'AGGREGATE'}),frozenset({'INSURANCE'}),0.36591989137813985,0.38289205702647655,0.3652410047522064,0.9981447124304267,2.6068566691666994,1.0,0.22513318483552555,332.6211812627233,0.9721109987820702,0.9522123893805311,0.9969935769087113,0.9760227108251425
11,frozenset({'INSURANCE'}),frozenset({'AGGREGATE'}),0.38289205702647655,0.36591989137813985,0.3652410047522064,0.9539007092198583,2.6068566691667,1.0,0.22513318483552555,13.754660817797303,0.998846724821181,0.9522123893805311,0.9272973711786415,0.9760227108251425
12,frozenset({'AGGREGATE'}),frozenset({'RETIREMENT'}),0.36591989137813985,0.3652410047522064,0.3652410047522064,0.9981447124304267,2.732838589981447,1.0,0.23159205596643637,342.13509843855485,1.0,0.9981447124304269,0.9970771779786293,0.9990723562152133
13,frozenset({'RETIREMENT'}),frozenset({'AGGREGATE'}),0.3652410047522064,0.36591989137813985,0.3652410047522064,1.0,2.732838589981447,1.0,0.23159205596643637,inf,0.9989304812834224,0.9981447124304269,1.0,0.9990723562152133
14,frozenset({'OF'}),frozenset({'AND'}),0.11473183978275628,0.18329938900203666,0.08689748811948404,0.757396449704142,4.1320184089414855,1.0,0.06586721198822526,3.3664000794794093,0.856223638803681,0.4115755627009646,0.7029467750741489,0.6157352618891081
15,frozenset({'THE'}),frozenset({'AND'}),0.10522742701968771,0.18329938900203666,0.09097080787508487,0.8645161290322582,4.71641577060932,1.0,0.07168268479611971,6.028028319270686,0.8806423119606822,0.4604810996563575,0.8341082776928648,0.6804062126642773
16,frozenset({'TO'}),frozenset({'AND'}),0.1120162932790224,0.18329938900203666,0.08486082824168364,0.7575757575757576,4.132996632996633,1.0,0.06432831012536588,3.3688900203665986,0.8536697247706421,0.4032258064516129,0.703166326607723,0.6102693602693603
17,frozenset({'BENEFITS'}),frozenset({'INSURANCE'}),0.37067209775967414,0.38289205702647655,0.3652410047522064,0.9853479853479854,2.573435429818409,1.0,0.22331360275868556,42.117617107943126,0.9715354723836336,0.9405594405594406,0.9762569663559764,0.9696243472839219
