,support,itemsets,length
472,0.022403259,"frozenset({'DEKALB', 'MULTIPLE RECIPIENTS', '75000-950000', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",4
440,0.021724372,"frozenset({'100000-200000', 'MULTIPLE RECIPIENTS', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'Department of Veterans Affairs'})",4
471,0.021724372,"frozenset({'DEKALB', 'Department of Health and Human Services', '75000-950000', 'DELIVERY ORDER'})",4
491,0.021045485,"frozenset({'GWINNETT', 'Social Security Administration', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', '>950000'})",4
507,0.021045485,"frozenset({'GWINNETT', 'MULTIPLE RECIPIENTS', 'Social Security Administration', '>950000'})",4
516,0.021045485,"frozenset({'GWINNETT', 'MULTIPLE RECIPIENTS', 'Social Security Administration', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",4
531,0.021045485,"frozenset({'MULTIPLE RECIPIENTS', 'Social Security Administration', '>950000', 'GWINNETT', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",5
474,0.018329939,"frozenset({'Department of Health and Human Services', 'DEKALB', 'EMORY UNIVERSITY', '75000-950000'})",4
505,0.018329939,"frozenset({'FORMULA GRANT (A)', 'FULTON', 'GEORGIA DEPT OF EDUCATION', '>950000'})",4
470,0.016972166,"frozenset({'DEFINITIVE CONTRACT', 'Department of Health and Human Services', '75000-950000', 'DEKALB'})",4
455,0.016293279,"frozenset({'200000-750000', 'Social Security Administration', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'HENRY'})",4
460,0.016293279,"frozenset({'200000-750000', 'MULTIPLE RECIPIENTS', 'Social Security Administration', 'HENRY'})",4
467,0.016293279,"frozenset({'DEKALB', 'Department of Health and Human Services', '75000-950000', 'COOPERATIVE AGREEMENT (B)'})",4
